global timestep: 17775956, episodic_reward: [-5.2045703]
global timestep: 17776268, episodic_reward: [-2.0337172]
global timestep: 17776548, episodic_reward: [-2.5465078]
global timestep: 17776764, episodic_reward: [-3.5487194]
global timestep: 17776792, episodic_reward: [-15.099886]
global timestep: 17776932, episodic_reward: [-3.1945987]
global timestep: 17777116, episodic_reward: [-4.4228864]
global timestep: 17777168, episodic_reward: [-4.658766]
global timestep: 17777372, episodic_reward: [-2.1183767]
global timestep: 17777420, episodic_reward: [-5.1967506]
global timestep: 17777596, episodic_reward: [-3.2299678]
global timestep: 17777632, episodic_reward: [-3.0007472]
global timestep: 17778036, episodic_reward: [-4.160411]
global timestep: 17778040, episodic_reward: [-6.510727]
global timestep: 17778080, episodic_reward: [-1.7451777]
global timestep: 17778084, episodic_reward: [-3.3520708]
global timestep: 17778272, episodic_reward: [-3.7203736]
global timestep: 17778888, episodic_reward: [-7.071985]
global timestep: 17779024, episodic_reward: [-8.006439]
global timestep: 17779512, episodic_reward: [-1.8758109]
global timestep: 17779756, episodic_reward: [-3.4301257]
global timestep: 17780008, episodic_reward: [-3.5211391]
global timestep: 17780068, episodic_reward: [-12.290294]
global timestep: 17780316, episodic_reward: [-3.3755355]
global timestep: 17780372, episodic_reward: [-2.2894912]
global timestep: 17780812, episodic_reward: [-5.3439274]
global timestep: 17780896, episodic_reward: [-5.503298]
global timestep: 17780968, episodic_reward: [-6.0349016]
global timestep: 17781180, episodic_reward: [-17.019783]
global timestep: 17781192, episodic_reward: [-3.9296956]
global timestep: 17781300, episodic_reward: [-4.7368646]
global timestep: 17781360, episodic_reward: [-3.3546324]
global timestep: 17781584, episodic_reward: [-2.7600226]
global timestep: 17781632, episodic_reward: [-3.0766127]
global timestep: 17781696, episodic_reward: [-3.4263775]
global timestep: 17781916, episodic_reward: [-3.3536005]
global timestep: 17782128, episodic_reward: [-5.8594666]
global timestep: 17782156, episodic_reward: [-7.598944]
global timestep: 17782200, episodic_reward: [-3.428759]
global timestep: 17782360, episodic_reward: [-3.7919602]
global timestep: 17782360, episodic_reward: [-2.0974855]
global timestep: 17782764, episodic_reward: [-4.9348345]
global timestep: 17782900, episodic_reward: [-7.0543385]
global timestep: 17783056, episodic_reward: [-3.2804341]
global timestep: 17783144, episodic_reward: [-7.3015976]
global timestep: 17783360, episodic_reward: [-3.2175891]
global timestep: 17783364, episodic_reward: [-7.8684454]
global timestep: 17783444, episodic_reward: [-5.5173016]
global timestep: 17783556, episodic_reward: [-6.005287]
global timestep: 17783684, episodic_reward: [-4.0260363]
global timestep: 17784164, episodic_reward: [-4.7694798]
global timestep: 17784244, episodic_reward: [-8.896059]
global timestep: 17784364, episodic_reward: [-5.758889]
global timestep: 17784380, episodic_reward: [-6.948139]
global timestep: 17784648, episodic_reward: [-2.165674]
global timestep: 17784928, episodic_reward: [-5.1468725]
global timestep: 17785012, episodic_reward: [-5.0846114]
global timestep: 17785052, episodic_reward: [-4.8822145]
global timestep: 17785380, episodic_reward: [-7.438278]
global timestep: 17785536, episodic_reward: [-4.384427]
global timestep: 17785656, episodic_reward: [-4.062614]
global timestep: 17785896, episodic_reward: [-3.0886157]
global timestep: 17786104, episodic_reward: [-2.4170249]
global timestep: 17786148, episodic_reward: [-0.6087479]
global timestep: 17786360, episodic_reward: [-2.641344]
global timestep: 17786764, episodic_reward: [-3.101344]
global timestep: 17786840, episodic_reward: [-1.5776445]
global timestep: 17787028, episodic_reward: [-4.753331]
global timestep: 17787156, episodic_reward: [-3.5494447]
global timestep: 17787324, episodic_reward: [-3.51202]
global timestep: 17787432, episodic_reward: [-2.8207304]
global timestep: 17787440, episodic_reward: [-1.8913281]
global timestep: 17787928, episodic_reward: [-3.8183837]
global timestep: 17788120, episodic_reward: [-8.538408]
global timestep: 17788284, episodic_reward: [-8.624937]
global timestep: 17788288, episodic_reward: [-7.0088434]
global timestep: 17788332, episodic_reward: [-4.9365206]
global timestep: 17788488, episodic_reward: [-2.5156183]
global timestep: 17788500, episodic_reward: [-3.4103222]
global timestep: 17788736, episodic_reward: [-4.70555]
global timestep: 17789272, episodic_reward: [-9.018614]
global timestep: 17789336, episodic_reward: [-5.204015]
global timestep: 17789548, episodic_reward: [-3.0637197]
global timestep: 17789548, episodic_reward: [-8.659098]
global timestep: 17789568, episodic_reward: [-8.696303]
global timestep: 17789792, episodic_reward: [-1.5588486]
global timestep: 17789932, episodic_reward: [-4.159422]
global timestep: 17789952, episodic_reward: [-3.2437854]
global timestep: 17790136, episodic_reward: [-2.7802587]
global timestep: 17790164, episodic_reward: [-3.001728]
global timestep: 17790272, episodic_reward: [-9.33264]
global timestep: 17790424, episodic_reward: [-3.8626885]
global timestep: 17790696, episodic_reward: [-4.360374]
global timestep: 17790732, episodic_reward: [-7.5484414]
global timestep: 17791068, episodic_reward: [-7.586584]
global timestep: 17791072, episodic_reward: [-7.187634]
global timestep: 17791180, episodic_reward: [-4.636468]
global timestep: 17791216, episodic_reward: [-4.14684]
global timestep: 17791296, episodic_reward: [-1.5605984]
global timestep: 17791588, episodic_reward: [-2.976682]
global timestep: 17791684, episodic_reward: [-4.822771]
global timestep: 17791844, episodic_reward: [-4.185393]
global timestep: 17792064, episodic_reward: [-3.3709393]
global timestep: 17792088, episodic_reward: [-4.5882096]
global timestep: 17792584, episodic_reward: [-8.355762]
global timestep: 17792720, episodic_reward: [-6.6244736]
global timestep: 17792752, episodic_reward: [-9.35702]
global timestep: 17793048, episodic_reward: [-8.604994]
global timestep: 17793152, episodic_reward: [-4.6354666]
global timestep: 17793156, episodic_reward: [-3.112224]
global timestep: 17793376, episodic_reward: [-4.6707478]
global timestep: 17793404, episodic_reward: [-3.536503]
global timestep: 17793860, episodic_reward: [-2.6278853]
global timestep: 17794008, episodic_reward: [-3.8247662]
global timestep: 17794064, episodic_reward: [-2.3037252]
global timestep: 17794148, episodic_reward: [-4.760842]
global timestep: 17794292, episodic_reward: [-3.551746]
global timestep: 17794340, episodic_reward: [-3.1038942]
global timestep: 17794404, episodic_reward: [-6.64751]
global timestep: 17794552, episodic_reward: [-4.8133326]
global timestep: 17794608, episodic_reward: [-2.1954556]
global timestep: 17794908, episodic_reward: [-6.2674637]
global timestep: 17795012, episodic_reward: [-4.7069235]
global timestep: 17795048, episodic_reward: [-6.232406]
global timestep: 17795172, episodic_reward: [-2.1179283]
global timestep: 17795956, episodic_reward: [-8.241838]
global timestep: 17796024, episodic_reward: [-8.99448]
global timestep: 17796172, episodic_reward: [-7.143389]
global timestep: 17796264, episodic_reward: [-3.8684247]
global timestep: 17796280, episodic_reward: [-3.3816948]
global timestep: 17796308, episodic_reward: [-7.7051125]
global timestep: 17796712, episodic_reward: [-4.5235076]
global timestep: 17796752, episodic_reward: [-5.549856]
global timestep: 17797144, episodic_reward: [-7.70731]
global timestep: 17797156, episodic_reward: [-4.8717117]
global timestep: 17797340, episodic_reward: [-9.249136]
global timestep: 17797348, episodic_reward: [-2.2183084]
global timestep: 17797552, episodic_reward: [-7.782799]
global timestep: 17797764, episodic_reward: [-2.0079422]
global timestep: 17798076, episodic_reward: [-5.6225142]
global timestep: 17798092, episodic_reward: [-6.220774]
global timestep: 17798496, episodic_reward: [-4.9102554]
global timestep: 17798724, episodic_reward: [-1.539297]
