
global timestep: 146364, episodic_reward: [-0.18356442]
global timestep: 146756, episodic_reward: [-1.4795974]
global timestep: 147192, episodic_reward: [0.5319311]
global timestep: 148360, episodic_reward: [-1.415826]
global timestep: 148832, episodic_reward: [-1.6923149]
global timestep: 149928, episodic_reward: [0.9017631]
global timestep: 150412, episodic_reward: [-0.5751987]
global timestep: 150436, episodic_reward: [-0.32374698]
global timestep: 150812, episodic_reward: [-1.5547904]
global timestep: 151268, episodic_reward: [-1.470252]
global timestep: 152360, episodic_reward: [-1.1582154]
global timestep: 152448, episodic_reward: [-1.0314256]
global timestep: 152744, episodic_reward: [-1.3775522]
global timestep: 153196, episodic_reward: [-1.1164973]
global timestep: 153964, episodic_reward: [-0.16215552]
global timestep: 154348, episodic_reward: [-1.3631072]
global timestep: 154896, episodic_reward: [-1.5539778]
global timestep: 155568, episodic_reward: [-0.35775557]
global timestep: 156372, episodic_reward: [-1.0079724]
global timestep: 157756, episodic_reward: [-1.9226652]
global timestep: 157976, episodic_reward: [-1.7283922]
global timestep: 158844, episodic_reward: [-0.3902614]
global timestep: 159160, episodic_reward: [-1.2564542]
global timestep: 159244, episodic_reward: [-1.0291265]
global timestep: 159752, episodic_reward: [-1.7623764]
global timestep: 160128, episodic_reward: [-2.0442874]
global timestep: 160640, episodic_reward: [-0.30515936]
global timestep: 161380, episodic_reward: [0.62103236]
global timestep: 161732, episodic_reward: [-1.5247391]
global timestep: 162184, episodic_reward: [-1.0115387]
global timestep: 163268, episodic_reward: [-0.7019577]
global timestep: 163788, episodic_reward: [-1.5431398]
global timestep: 164844, episodic_reward: [-1.1822107]
global timestep: 166812, episodic_reward: [-0.402153]
global timestep: 167080, episodic_reward: [-0.12453878]
global timestep: 167960, episodic_reward: [-1.6884676]
global timestep: 168288, episodic_reward: [0.12304169]
global timestep: 168416, episodic_reward: [-1.8254881]
global timestep: 168736, episodic_reward: [0.3019247]
global timestep: 169592, episodic_reward: [-1.5370489]
global timestep: 170628, episodic_reward: [-1.0423373]
global timestep: 171476, episodic_reward: [-1.4185612]
global timestep: 171544, episodic_reward: [-1.6521283]
global timestep: 171852, episodic_reward: [-1.4713719]
global timestep: 172012, episodic_reward: [-0.89294004]
global timestep: 172800, episodic_reward: [-1.0685217]
global timestep: 172840, episodic_reward: [-1.3857973]
global timestep: 173108, episodic_reward: [-0.65686715]
global timestep: 173644, episodic_reward: [-1.0471778]
global timestep: 174196, episodic_reward: [-1.6963933]
global timestep: 175248, episodic_reward: [-0.19040696]
global timestep: 175536, episodic_reward: [-0.470266]
global timestep: 176796, episodic_reward: [-0.49995318]
global timestep: 177176, episodic_reward: [-1.6183286]
global timestep: 177960, episodic_reward: [-0.19726837]
global timestep: 178764, episodic_reward: [-1.0099497]
global timestep: 179384, episodic_reward: [-0.7812419]
global timestep: 179616, episodic_reward: [-1.719264]
global timestep: 179828, episodic_reward: [-1.8250654]
global timestep: 180776, episodic_reward: [-0.7396213]
global timestep: 181216, episodic_reward: [-0.99649936]
global timestep: 181220, episodic_reward: [-1.7463251]
global timestep: 183220, episodic_reward: [-2.3280542]
global timestep: 183332, episodic_reward: [-1.8130183]
global timestep: 184912, episodic_reward: [-1.8545623]
global timestep: 187312, episodic_reward: [-0.33152533]
global timestep: 187336, episodic_reward: [-2.0231202]
global timestep: 188156, episodic_reward: [-0.99645615]
global timestep: 188800, episodic_reward: [-1.2491854]
global timestep: 188940, episodic_reward: [-1.535723]
global timestep: 189172, episodic_reward: [-2.180909]
global timestep: 189404, episodic_reward: [-0.3453251]
global timestep: 189624, episodic_reward: [-1.4840633]
global timestep: 190224, episodic_reward: [-1.430118]
global timestep: 190316, episodic_reward: [-1.5801361]
global timestep: 191920, episodic_reward: [-1.8800722]
global timestep: 192532, episodic_reward: [-0.37285852]
global timestep: 193524, episodic_reward: [-0.32231948]
global timestep: 194136, episodic_reward: [-0.27120972]
global timestep: 194516, episodic_reward: [-2.0487208]
global timestep: 194668, episodic_reward: [-0.554307]
global timestep: 195248, episodic_reward: [0.5950749]
global timestep: 195504, episodic_reward: [-1.5061215]
global timestep: 196120, episodic_reward: [-2.2999647]
global timestep: 196176, episodic_reward: [-2.1568933]
global timestep: 196928, episodic_reward: [-0.5424843]
global timestep: 197060, episodic_reward: [-1.7981268]
global timestep: 198256, episodic_reward: [-1.1853323]
global timestep: 198664, episodic_reward: [-0.16054882]
global timestep: 199516, episodic_reward: [-0.5030774]
global timestep: 199940, episodic_reward: [-0.8229157]
global timestep: 200744, episodic_reward: [-0.9742332]
global timestep: 201120, episodic_reward: [-1.6999106]
global timestep: 202724, episodic_reward: [-0.16030504]
global timestep: 203676, episodic_reward: [-2.2284484]
global timestep: 204364, episodic_reward: [-0.19559324]
global timestep: 204480, episodic_reward: [-1.0613085]
global timestep: 204984, episodic_reward: [-1.4990675]
global timestep: 205140, episodic_reward: [-0.42119217]
global timestep: 205192, episodic_reward: [-1.5242602]
global timestep: 205304, episodic_reward: [-0.70398957]
global timestep: 205944, episodic_reward: [-1.1199077]
global timestep: 206908, episodic_reward: [-0.4658802]
global timestep: 206992, episodic_reward: [-2.142091]
global timestep: 207992, episodic_reward: [-1.6482375]
global timestep: 208692, episodic_reward: [-0.12915719]
global timestep: 209596, episodic_reward: [-1.5510402]
global timestep: 211796, episodic_reward: [-1.1735338]
global timestep: 212404, episodic_reward: [-1.2027688]
global timestep: 213400, episodic_reward: [-1.5085604]
global timestep: 214600, episodic_reward: [-1.5592747]
global timestep: 215184, episodic_reward: [0.5836667]
global timestep: 215540, episodic_reward: [-1.4576299]
global timestep: 215588, episodic_reward: [0.19087893]
global timestep: 215988, episodic_reward: [-1.0181638]
global timestep: 217144, episodic_reward: [-1.6265469]
global timestep: 217568, episodic_reward: [-2.371463]
global timestep: 218152, episodic_reward: [-1.3843423]
global timestep: 218180, episodic_reward: [0.05853689]
global timestep: 219012, episodic_reward: [-0.46200642]
global timestep: 220772, episodic_reward: [-0.4584043]
global timestep: 221244, episodic_reward: [-0.6117057]
global timestep: 222424, episodic_reward: [-1.7885844]
global timestep: 223280, episodic_reward: [-1.786683]
global timestep: 224852, episodic_reward: [-2.356848]
global timestep: 224940, episodic_reward: [-0.31155217]
global timestep: 226456, episodic_reward: [-0.444952]
global timestep: 226544, episodic_reward: [-1.8417858]
global timestep: 226588, episodic_reward: [-1.9487526]
global timestep: 227536, episodic_reward: [-1.5968169]
global timestep: 229140, episodic_reward: [-0.16020042]
global timestep: 230744, episodic_reward: [-1.998825]
global timestep: 230860, episodic_reward: [-1.5963111]
global timestep: 231560, episodic_reward: [-0.86840814]
global timestep: 232788, episodic_reward: [-1.5213714]
global timestep: 233048, episodic_reward: [-0.8939284]
global timestep: 233924, episodic_reward: [-0.514724]
global timestep: 234392, episodic_reward: [0.60664195]
global timestep: 235996, episodic_reward: [-1.7676586]
global timestep: 236512, episodic_reward: [-0.64547896]
global timestep: 236860, episodic_reward: [-0.07436162]
global timestep: 237164, episodic_reward: [-0.4411644]
global timestep: 237600, episodic_reward: [-1.8555965]
global timestep: 237772, episodic_reward: [-2.0594563]
global timestep: 237772, episodic_reward: [-0.7642212]
global timestep: 239732, episodic_reward: [-0.30994824]
global timestep: 240016, episodic_reward: [-0.53009284]
global timestep: 240188, episodic_reward: [-1.1939367]
global timestep: 240820, episodic_reward: [-1.0539525]
global timestep: 241412, episodic_reward: [-1.699361]
global timestep: 243168, episodic_reward: [-0.8707038]
global timestep: 243416, episodic_reward: [-0.02164137]
global timestep: 243780, episodic_reward: [-0.96661514]
global timestep: 244772, episodic_reward: [-0.16363014]
global timestep: 245448, episodic_reward: [-1.0261549]
global timestep: 246052, episodic_reward: [-1.1077956]
global timestep: 246376, episodic_reward: [-0.2939321]
global timestep: 247052, episodic_reward: [-0.4463191]
global timestep: 247360, episodic_reward: [-2.4183996]
global timestep: 248208, episodic_reward: [-0.56928235]
global timestep: 248232, episodic_reward: [-0.3914969]
global timestep: 249132, episodic_reward: [-2.0214074]
global timestep: 249720, episodic_reward: [-1.7570721]
global timestep: 250448, episodic_reward: [-1.0803044]
global timestep: 251060, episodic_reward: [-1.4140431]
global timestep: 251856, episodic_reward: [-1.517597]
global timestep: 251956, episodic_reward: [-0.01031578]
global timestep: 252052, episodic_reward: [-1.5375785]
global timestep: 253460, episodic_reward: [-0.16207007]
global timestep: 253656, episodic_reward: [-0.16112545]
global timestep: 254408, episodic_reward: [-1.2744908]
global timestep: 255552, episodic_reward: [-1.5404627]
global timestep: 255928, episodic_reward: [-0.63884366]
global timestep: 256284, episodic_reward: [-2.1223314]
global timestep: 257104, episodic_reward: [-0.72744775]
global timestep: 257156, episodic_reward: [-1.4433801]
global timestep: 257876, episodic_reward: [-1.8049682]
global timestep: 258348, episodic_reward: [0.58045447]
global timestep: 259480, episodic_reward: [-1.5666991]
global timestep: 260188, episodic_reward: [-0.9574442]
global timestep: 261032, episodic_reward: [-0.5882604]
global timestep: 261104, episodic_reward: [-1.8530697]
global timestep: 261732, episodic_reward: [-1.940987]
global timestep: 262536, episodic_reward: [-1.0675169]
global timestep: 262636, episodic_reward: [-0.188629]
global timestep: 263328, episodic_reward: [-1.5555202]
global timestep: 263464, episodic_reward: [-1.4231309]
global timestep: 266788, episodic_reward: [-1.5285136]
global timestep: 267448, episodic_reward: [-0.74968535]
global timestep: 269244, episodic_reward: [5.5722523]
global timestep: 269420, episodic_reward: [0.78434473]
global timestep: 270076, episodic_reward: [-1.5875298]
global timestep: 270688, episodic_reward: [-0.26666108]
global timestep: 270880, episodic_reward: [-1.035242]
global timestep: 271024, episodic_reward: [-1.6937597]
global timestep: 272184, episodic_reward: [-0.81877506]
global timestep: 272988, episodic_reward: [-1.185637]
global timestep: 273136, episodic_reward: [-0.32554814]
global timestep: 273488, episodic_reward: [-1.9617915]
global timestep: 274976, episodic_reward: [-0.91082835]
global timestep: 275600, episodic_reward: [2.2579532]
global timestep: 275780, episodic_reward: [-1.0637386]
global timestep: 276264, episodic_reward: [-0.74155676]
global timestep: 276592, episodic_reward: [-1.2778971]
global timestep: 276820, episodic_reward: [-0.22434413]
global timestep: 278248, episodic_reward: [-2.1072116]
global timestep: 279776, episodic_reward: [0.5591315]
global timestep: 280348, episodic_reward: [-1.6372648]
global timestep: 280400, episodic_reward: [-0.577834]
global timestep: 280456, episodic_reward: [1.2776532]
global timestep: 281380, episodic_reward: [-0.16336717]
global timestep: 282060, episodic_reward: [-0.32324782]
global timestep: 282592, episodic_reward: [-1.0136267]
global timestep: 284244, episodic_reward: [-0.5261998]
global timestep: 285220, episodic_reward: [-1.945442]
global timestep: 285904, episodic_reward: [-1.7054203]
global timestep: 286040, episodic_reward: [-0.6958511]
global timestep: 287200, episodic_reward: [-1.8375158]
global timestep: 287412, episodic_reward: [0.6470785]
global timestep: 287644, episodic_reward: [-1.53297]
global timestep: 288268, episodic_reward: [-1.5268689]
global timestep: 288588, episodic_reward: [-1.6059238]
global timestep: 289832, episodic_reward: [-1.2626597]
global timestep: 289872, episodic_reward: [-1.5819271]
global timestep: 290148, episodic_reward: [-0.6837352]
global timestep: 290728, episodic_reward: [-1.7899467]
global timestep: 291180, episodic_reward: [-0.58096784]
global timestep: 291256, episodic_reward: [-1.518485]
global timestep: 291476, episodic_reward: [-1.5798609]
global timestep: 291660, episodic_reward: [-1.8145052]
global timestep: 292040, episodic_reward: [-0.46766624]
global timestep: 292860, episodic_reward: [-0.5659267]
global timestep: 293080, episodic_reward: [-1.8103682]
global timestep: 294788, episodic_reward: [-0.7496251]
global timestep: 295096, episodic_reward: [-2.011061]
global timestep: 295592, episodic_reward: [-1.0180575]
global timestep: 295788, episodic_reward: [0.29084384]
global timestep: 296512, episodic_reward: [-1.9207542]
global timestep: 296592, episodic_reward: [-1.1072441]
global timestep: 296700, episodic_reward: [-0.24385218]
global timestep: 296876, episodic_reward: [0.8305304]
global timestep: 297744, episodic_reward: [-1.6277742]
global timestep: 298116, episodic_reward: [-1.5516645]
global timestep: 298648, episodic_reward: [-1.745227]
global timestep: 298948, episodic_reward: [-1.0114369]
global timestep: 300252, episodic_reward: [-0.1920498]
global timestep: 300388, episodic_reward: [-1.1524458]
global timestep: 300992, episodic_reward: [-1.9284626]
global timestep: 301056, episodic_reward: [-1.1633687]
global timestep: 301640, episodic_reward: [-0.29777735]
global timestep: 301892, episodic_reward: [-0.60766405]
global timestep: 301992, episodic_reward: [-1.5392712]
global timestep: 303244, episodic_reward: [-0.21637563]
global timestep: 305060, episodic_reward: [-0.06351338]
global timestep: 306020, episodic_reward: [-1.6495768]
global timestep: 306392, episodic_reward: [-1.057474]
global timestep: 306568, episodic_reward: [-0.18080242]
global timestep: 307272, episodic_reward: [-1.7182894]
global timestep: 309732, episodic_reward: [-1.7990057]
global timestep: 310016, episodic_reward: [-0.39771366]
global timestep: 310152, episodic_reward: [-1.5527707]
global timestep: 310624, episodic_reward: [-1.6650444]
global timestep: 311620, episodic_reward: [-0.29456237]
global timestep: 311816, episodic_reward: [-1.3658124]
global timestep: 312672, episodic_reward: [-0.51344657]
global timestep: 313268, episodic_reward: [0.10645342]
global timestep: 313644, episodic_reward: [-2.0827432]
global timestep: 314136, episodic_reward: [-1.2498859]
global timestep: 314276, episodic_reward: [-0.21469012]
global timestep: 314728, episodic_reward: [-1.0722034]
global timestep: 315980, episodic_reward: [-1.2689732]
global timestep: 316756, episodic_reward: [-1.9776639]
global timestep: 317604, episodic_reward: [-0.5448844]
global timestep: 317888, episodic_reward: [-1.3686404]
global timestep: 318548, episodic_reward: [-2.1576855]
global timestep: 318568, episodic_reward: [-2.1035345]
global timestep: 319052, episodic_reward: [-0.62320733]
global timestep: 321004, episodic_reward: [-0.40094963]
global timestep: 321552, episodic_reward: [-1.0300258]
global timestep: 321624, episodic_reward: [0.6145449]
global timestep: 322152, episodic_reward: [-0.49614048]
global timestep: 322292, episodic_reward: [-1.3415054]
global timestep: 322956, episodic_reward: [-1.0118059]
global timestep: 323896, episodic_reward: [-1.6385051]
global timestep: 325476, episodic_reward: [-0.5142368]
global timestep: 329416, episodic_reward: [-0.6887392]
global timestep: 329576, episodic_reward: [-0.7119115]
global timestep: 330048, episodic_reward: [0.8258927]
global timestep: 330132, episodic_reward: [-0.9243616]
global timestep: 330228, episodic_reward: [-0.8426133]
global timestep: 331652, episodic_reward: [-0.39455673]
global timestep: 331688, episodic_reward: [-0.41213828]
global timestep: 331832, episodic_reward: [-1.6257235]
global timestep: 332508, episodic_reward: [-1.5982908]
global timestep: 332796, episodic_reward: [-1.9010798]
global timestep: 333292, episodic_reward: [-1.0120451]
global timestep: 334400, episodic_reward: [-1.5174322]
global timestep: 334896, episodic_reward: [-0.2418077]
global timestep: 335552, episodic_reward: [0.50592124]
global timestep: 336348, episodic_reward: [-0.99508303]
global timestep: 338096, episodic_reward: [-1.401475]
global timestep: 340304, episodic_reward: [-0.7943213]
global timestep: 340352, episodic_reward: [-1.4029179]
global timestep: 341508, episodic_reward: [-1.2979513]
global timestep: 341648, episodic_reward: [-1.158709]
global timestep: 341888, episodic_reward: [-1.2851021]
global timestep: 342572, episodic_reward: [-1.9693071]
global timestep: 342784, episodic_reward: [-0.25620282]
global timestep: 343044, episodic_reward: [-1.147316]
global timestep: 343624, episodic_reward: [-1.6417248]
global timestep: 344436, episodic_reward: [1.1401436]
global timestep: 344472, episodic_reward: [-1.6156524]
global timestep: 345220, episodic_reward: [-1.7854344]
global timestep: 346056, episodic_reward: [-0.6557042]
global timestep: 346684, episodic_reward: [-0.28477573]
global timestep: 347560, episodic_reward: [-1.7464702]
global timestep: 347660, episodic_reward: [-1.8176996]
global timestep: 348228, episodic_reward: [0.6017289]
global timestep: 348516, episodic_reward: [-1.8936563]
global timestep: 348912, episodic_reward: [-1.3094037]
global timestep: 349164, episodic_reward: [-1.5411611]
global timestep: 350028, episodic_reward: [-1.6791098]
global timestep: 350120, episodic_reward: [-0.29445413]
global timestep: 350516, episodic_reward: [-0.16369385]
global timestep: 352056, episodic_reward: [-1.3413935]
global timestep: 352240, episodic_reward: [-0.74716103]
global timestep: 352708, episodic_reward: [-1.1756558]
global timestep: 353004, episodic_reward: [0.15204227]
global timestep: 353216, episodic_reward: [-1.2998303]
global timestep: 353812, episodic_reward: [-1.1750195]
global timestep: 353844, episodic_reward: [-0.43970576]
global timestep: 354636, episodic_reward: [-1.1692846]
global timestep: 354820, episodic_reward: [-1.5751343]
global timestep: 356856, episodic_reward: [-1.4121684]
global timestep: 357112, episodic_reward: [-1.15571]
global timestep: 357520, episodic_reward: [0.6212345]
global timestep: 357668, episodic_reward: [-1.1021296]
global timestep: 357816, episodic_reward: [-1.3031133]
global timestep: 358020, episodic_reward: [-1.693897]
global timestep: 358384, episodic_reward: [-1.5444934]
global timestep: 358648, episodic_reward: [-1.8970971]
global timestep: 359468, episodic_reward: [-1.5527207]
global timestep: 361072, episodic_reward: [-0.22013174]
global timestep: 361720, episodic_reward: [-0.6775931]
global timestep: 362636, episodic_reward: [-0.5801152]
global timestep: 362732, episodic_reward: [-0.04651892]
global timestep: 363556, episodic_reward: [-1.3611323]
global timestep: 363676, episodic_reward: [-0.3354744]
global timestep: 365444, episodic_reward: [-1.3796325]
global timestep: 365564, episodic_reward: [-0.11375201]
global timestep: 366292, episodic_reward: [-1.4892759]
global timestep: 367168, episodic_reward: [-0.2742084]
global timestep: 367372, episodic_reward: [-0.63724244]
global timestep: 367384, episodic_reward: [-0.9309389]
global timestep: 367896, episodic_reward: [-1.4310057]
global timestep: 368880, episodic_reward: [-1.10953]
global timestep: 369500, episodic_reward: [-1.5458944]
global timestep: 370508, episodic_reward: [-0.7286789]
global timestep: 371016, episodic_reward: [-1.7353686]
global timestep: 371292, episodic_reward: [-1.6700037]
global timestep: 371428, episodic_reward: [-1.0940639]
global timestep: 371852, episodic_reward: [-0.6076578]
global timestep: 372084, episodic_reward: [-0.6478647]
global timestep: 373848, episodic_reward: [-1.8171551]
global timestep: 374916, episodic_reward: [-0.03386164]
global timestep: 375044, episodic_reward: [0.1721493]
global timestep: 376844, episodic_reward: [-1.4493452]
global timestep: 377484, episodic_reward: [0.44799864]
global timestep: 377484, episodic_reward: [-1.8465956]
global timestep: 377836, episodic_reward: [-0.7797611]
