global timestep: 557348, episodic_reward: [-1.982755]
global timestep: 557552, episodic_reward: [-1.2759622]
global timestep: 557708, episodic_reward: [-1.7134775]
global timestep: 558172, episodic_reward: [-1.5566295]
global timestep: 558472, episodic_reward: [0.80099237]
global timestep: 558632, episodic_reward: [0.27420723]
global timestep: 558632, episodic_reward: [0.6917649]
global timestep: 558656, episodic_reward: [-0.61096334]
global timestep: 558876, episodic_reward: [-0.2931561]
global timestep: 559036, episodic_reward: [-1.2588285]
global timestep: 559060, episodic_reward: [-0.27239832]
global timestep: 559324, episodic_reward: [-1.6961104]
global timestep: 559536, episodic_reward: [-1.7435094]
global timestep: 559540, episodic_reward: [-1.4785966]
global timestep: 559560, episodic_reward: [-1.1908597]
global timestep: 559744, episodic_reward: [-0.74237436]
global timestep: 560116, episodic_reward: [-1.1376944]
global timestep: 560492, episodic_reward: [-0.76570684]
global timestep: 560600, episodic_reward: [-0.2285862]
global timestep: 560844, episodic_reward: [-0.8609117]
global timestep: 560872, episodic_reward: [-0.08397269]
global timestep: 561092, episodic_reward: [-0.42347807]
global timestep: 561160, episodic_reward: [-2.0075107]
global timestep: 561332, episodic_reward: [-2.0936375]
global timestep: 561604, episodic_reward: [-1.408392]
global timestep: 561688, episodic_reward: [-1.6075203]
global timestep: 561736, episodic_reward: [-1.5451882]
global timestep: 561788, episodic_reward: [-0.9081653]
global timestep: 561848, episodic_reward: [-2.0018651]
global timestep: 561956, episodic_reward: [-1.8199557]
global timestep: 562132, episodic_reward: [-1.3722905]
global timestep: 562192, episodic_reward: [-1.5431035]
global timestep: 562364, episodic_reward: [-1.8508837]
global timestep: 562572, episodic_reward: [-0.27024385]
global timestep: 562656, episodic_reward: [-1.5147119]
global timestep: 562836, episodic_reward: [-1.8810568]
global timestep: 563144, episodic_reward: [-0.7025653]
global timestep: 563280, episodic_reward: [-1.800902]
global timestep: 563464, episodic_reward: [-1.7286174]
global timestep: 563508, episodic_reward: [-1.6129912]
global timestep: 563548, episodic_reward: [-1.3038309]
global timestep: 563644, episodic_reward: [-1.7888678]
global timestep: 563716, episodic_reward: [-0.73833275]
global timestep: 564284, episodic_reward: [-0.40873855]
global timestep: 564364, episodic_reward: [-1.8031746]
global timestep: 564496, episodic_reward: [-1.3682747]
global timestep: 564572, episodic_reward: [-0.82270986]
global timestep: 564768, episodic_reward: [-0.37003314]
global timestep: 564984, episodic_reward: [-1.4945629]
global timestep: 565280, episodic_reward: [-0.583348]
global timestep: 565496, episodic_reward: [-1.4007638]
global timestep: 565576, episodic_reward: [-1.3084306]
global timestep: 565820, episodic_reward: [-0.84315073]
global timestep: 566152, episodic_reward: [-1.1851324]
global timestep: 566192, episodic_reward: [-0.24032876]
global timestep: 566456, episodic_reward: [0.4910605]
global timestep: 566596, episodic_reward: [-0.22034015]
global timestep: 566784, episodic_reward: [-0.16108464]
global timestep: 566860, episodic_reward: [-1.4055502]
global timestep: 566996, episodic_reward: [-1.2660321]
global timestep: 567264, episodic_reward: [-1.2754987]
global timestep: 567268, episodic_reward: [-0.6618801]
global timestep: 567324, episodic_reward: [-0.7184987]
global timestep: 567468, episodic_reward: [-0.06399846]
global timestep: 567484, episodic_reward: [-0.3909503]
global timestep: 567680, episodic_reward: [-1.2612104]
global timestep: 567848, episodic_reward: [-1.2466779]
global timestep: 567884, episodic_reward: [-0.24021707]
global timestep: 568164, episodic_reward: [-1.2201468]
global timestep: 568172, episodic_reward: [-0.87408435]
global timestep: 568652, episodic_reward: [-1.150972]
global timestep: 568848, episodic_reward: [-0.4498235]
global timestep: 569056, episodic_reward: [-1.4122363]
global timestep: 569140, episodic_reward: [-1.2824334]
global timestep: 569392, episodic_reward: [0.13110846]
global timestep: 570068, episodic_reward: [-0.07047057]
global timestep: 570068, episodic_reward: [-1.0650097]
global timestep: 570104, episodic_reward: [0.81793475]
global timestep: 570276, episodic_reward: [-0.57071525]
global timestep: 570316, episodic_reward: [-1.3215233]
global timestep: 570652, episodic_reward: [-0.9546359]
global timestep: 570720, episodic_reward: [-1.1933218]
global timestep: 570796, episodic_reward: [-1.0584694]
global timestep: 570860, episodic_reward: [-0.56815904]
global timestep: 571032, episodic_reward: [-0.14772975]
global timestep: 571124, episodic_reward: [-0.16100869]
global timestep: 571280, episodic_reward: [-1.1054811]
global timestep: 571352, episodic_reward: [-1.7840968]
global timestep: 571436, episodic_reward: [-1.7348453]
global timestep: 571504, episodic_reward: [-1.8401331]
global timestep: 571996, episodic_reward: [-1.939825]
global timestep: 572144, episodic_reward: [-1.2900385]
global timestep: 572200, episodic_reward: [-1.0600364]
global timestep: 572448, episodic_reward: [-1.908841]
global timestep: 572548, episodic_reward: [-0.27268863]
global timestep: 572732, episodic_reward: [1.4375616]
global timestep: 572760, episodic_reward: [-0.5439938]
global timestep: 573232, episodic_reward: [-0.8566886]
global timestep: 573248, episodic_reward: [-1.5529237]
global timestep: 573292, episodic_reward: [0.18134916]
global timestep: 573300, episodic_reward: [-1.1939133]
global timestep: 573652, episodic_reward: [-2.1020505]
global timestep: 573696, episodic_reward: [-1.8139812]
global timestep: 573784, episodic_reward: [-0.9937367]
global timestep: 573872, episodic_reward: [-2.586446]
global timestep: 573932, episodic_reward: [-2.460195]
global timestep: 574076, episodic_reward: [-1.268283]
global timestep: 574420, episodic_reward: [-0.4135579]
global timestep: 574696, episodic_reward: [-1.8107128]
global timestep: 574732, episodic_reward: [-1.2855748]
global timestep: 574920, episodic_reward: [-0.24131213]
global timestep: 575020, episodic_reward: [-1.3395641]
global timestep: 575256, episodic_reward: [-1.8777221]
