global timestep: 2414420, episodic_reward: [-1.3989388]
global timestep: 2414588, episodic_reward: [-1.4639915]
global timestep: 2414640, episodic_reward: [-0.35220438]
global timestep: 2414856, episodic_reward: [-1.0651795]
global timestep: 2415264, episodic_reward: [-0.16429722]
global timestep: 2415604, episodic_reward: [-1.1165946]
global timestep: 2415716, episodic_reward: [0.14216876]
global timestep: 2415976, episodic_reward: [-0.9647943]
global timestep: 2416468, episodic_reward: [-1.7662464]
global timestep: 2416504, episodic_reward: [-0.7120449]
global timestep: 2416508, episodic_reward: [1.4788392]
global timestep: 2416660, episodic_reward: [-1.6590023]
global timestep: 2416988, episodic_reward: [-1.3621941]
global timestep: 2416992, episodic_reward: [-0.4384133]
global timestep: 2416996, episodic_reward: [-1.6385554]
global timestep: 2417064, episodic_reward: [-1.8754488]
global timestep: 2417212, episodic_reward: [-0.51884824]
global timestep: 2417272, episodic_reward: [-0.7787631]
global timestep: 2417392, episodic_reward: [-0.22015925]
global timestep: 2417744, episodic_reward: [-0.9304772]
global timestep: 2417816, episodic_reward: [-1.1871632]
global timestep: 2418220, episodic_reward: [-1.1225014]
global timestep: 2418864, episodic_reward: [-0.9249579]
global timestep: 2418960, episodic_reward: [-0.2063179]
global timestep: 2418960, episodic_reward: [0.6089599]
global timestep: 2418968, episodic_reward: [-0.02881026]
global timestep: 2419164, episodic_reward: [-1.1497045]
global timestep: 2419176, episodic_reward: [-0.45297575]
global timestep: 2419372, episodic_reward: [-0.29540557]
global timestep: 2419900, episodic_reward: [0.7968818]
global timestep: 2419908, episodic_reward: [-0.8783581]
global timestep: 2419928, episodic_reward: [-1.3827128]
global timestep: 2420104, episodic_reward: [-1.0526837]
global timestep: 2420172, episodic_reward: [0.6057861]
global timestep: 2420384, episodic_reward: [-1.6880821]
global timestep: 2420632, episodic_reward: [-1.774869]
global timestep: 2420972, episodic_reward: [-1.1715047]
global timestep: 2421320, episodic_reward: [-0.08567822]
global timestep: 2421448, episodic_reward: [0.7448918]
global timestep: 2422168, episodic_reward: [0.01213598]
