global timestep: 3587788, episodic_reward: [-4.035469]
global timestep: 3587956, episodic_reward: [-5.1984053]
global timestep: 3588192, episodic_reward: [-2.8712192]
global timestep: 3588508, episodic_reward: [-2.600624]
global timestep: 3588644, episodic_reward: [-6.309523]
global timestep: 3588720, episodic_reward: [-2.8158479]
global timestep: 3588968, episodic_reward: [-4.7560353]
global timestep: 3588984, episodic_reward: [-9.521739]
global timestep: 3589048, episodic_reward: [-0.57614946]
global timestep: 3589176, episodic_reward: [-2.4696083]
global timestep: 3589204, episodic_reward: [-1.6935503]
global timestep: 3589608, episodic_reward: [-3.5103884]
global timestep: 3590104, episodic_reward: [-3.731152]
global timestep: 3590464, episodic_reward: [-7.125411]
global timestep: 3590668, episodic_reward: [-4.8184466]
global timestep: 3590724, episodic_reward: [-3.8195417]
global timestep: 3590868, episodic_reward: [-1.1108078]
global timestep: 3590944, episodic_reward: [-2.4495878]
global timestep: 3591096, episodic_reward: [-5.36802]
global timestep: 3591112, episodic_reward: [-2.73701]
global timestep: 3591320, episodic_reward: [-4.588502]
global timestep: 3591512, episodic_reward: [-3.1293452]
global timestep: 3591516, episodic_reward: [-1.4471922]
global timestep: 3592056, episodic_reward: [-7.0447083]
global timestep: 3592064, episodic_reward: [-4.845816]
global timestep: 3592260, episodic_reward: [-4.1430197]
global timestep: 3592304, episodic_reward: [-3.0731258]
global timestep: 3592376, episodic_reward: [-5.980757]
global timestep: 3592540, episodic_reward: [-4.5097127]
global timestep: 3592824, episodic_reward: [-4.496402]
global timestep: 3593236, episodic_reward: [-3.7378316]
global timestep: 3593268, episodic_reward: [-4.7165937]
global timestep: 3593536, episodic_reward: [-1.7247943]
global timestep: 3593540, episodic_reward: [-1.5175309]
global timestep: 3593752, episodic_reward: [-1.7172909]
global timestep: 3593764, episodic_reward: [-1.9568636]
global timestep: 3593940, episodic_reward: [-1.9851177]
global timestep: 3594156, episodic_reward: [-4.257454]
global timestep: 3594200, episodic_reward: [-4.424684]
